title,author,year,date,series,number,language,citation,link
CELE submission to the Committee of Ministers’ public consultation on the draft recommendation on online safety and empowerment of content creators and users;Nicolás Zara;2025;2025-08-07;Documento de posición;32;ENG;Nicolás Zara, “CELE submission to the Committee of Ministers’ public consultation on the draft recommendation on online safety and empowerment of content creators and users”, Documento de posición No. 32 (ENG), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://www.palermo.edu/Archivos_content/2025/cele/agosto/08_2025_DP32.pdf
CELE submission to the Committee of Ministers’ public consultation on the Draft Guidance Note on the Implications of Generative Artificial Intelligence for Freedom of Expression;Vladimir Garay y Matías González Mama;2025;2025-08-12;Documento de posición;31;ENG;Agustina del Campo y Ramiro Álvarez Ugarte, “Trust and Safety's Blindspots: A Latin American Perspective”, Artículo de investigación No. 68 (ENG), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires. En Maia Levy Daniel, Amanda Menking, Marlyn Thomas Savio, & Jean Claffey, Trust, Safety, and the Internet We Share: Multistakeholder Insights, Taylor and Francis (fin de 2025)";https://www.palermo.edu/Archivos_content/2025/cele/agosto/08_2025_DP31.pdf
Public Consultation on Freedom of Expression and Artificial Intelligence;Vladimir Garay. Matías González Mama, Nicolás Zara, Agustina Del Campo;2025;2025-07-28;Documento de posición;30;ENG;Vladimir Garay. Matías González Mama, Nicolás Zara, Agustina Del Campo, “Public Consultation on Freedom of Expression and Artificial Intelligence”, Documento de posición No. 30 (ENG), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://www.palermo.edu/Archivos_content/2025/cele/agosto/07_2025_DP30.pdf
CELE submission to the Office of the Special Rapporteur for Freedom of Opinion and Expression;Agustina Del Campo, Vladimir Garay, Nicolás Zara;2025;2025-07-21;Documento de posición;29;ENG;Agustina del Campo y Ramiro Álvarez Ugarte, “Trust and Safety's Blindspots: A Latin American Perspective”, Artículo de investigación No. 68 (ENG), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires. En Maia Levy Daniel, Amanda Menking, Marlyn Thomas Savio, & Jean Claffey, Trust, Safety, and the Internet We Share: Multistakeholder Insights, Taylor and Francis (fin de 2025)";https://www.palermo.edu/Archivos_content/2025/cele/julio/07_2025_DP29.pdf
Concepto solicitado por la Corte Constitucional - Acción de tutela presentada por Daniela contra Marcos.;CELE, FLIP, el Veinte y Fundacion Karisma;2025;2025-07-01;Documento de posición;28;ESP;CELE, FLIP, el Veinte y Fundacion Karisma, “Concepto solicitado por la Corte Constitucional - Acción de tutela presentada por Daniela contra Marcos.”, Documento de posición No. 28 (ESP), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://www.palermo.edu/Archivos_content/2025/cele/julio/07_2025_DP_28.pdf
Colombia. Sentencia T-149 de 2025: Violencia de género digital política y libertad de expresión;Lina Palacios;2025;2025-06-23;Informe de jurisprudencia;4;ESP;Lina Palacios, “Colombia. Sentencia T-149 de 2025: Violencia de género digital política y libertad de expresión”, Informe de jurisprudencia No. 4 (ESP), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://www.palermo.edu/Archivos_content/2025/cele/junio/06_2025_DP28.pdf
México. Amparo en revisión 767/2023 y principio de no responsabilidad de intermediarios;Matías González Mama y Francesca Chocano;2025;2025-04-01;Informe de jurisprudencia;3;ESP;Matías González Mama y Francesca Chocano, “México. Amparo en revisión 767/2023 y principio de no responsabilidad de intermediarios”, Informe de jurisprudencia No. 3 (ESP), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://observatoriolegislativocele.com/wp-content/uploads/informe-jurisprudencia-mexico-3.pdf
"Brasil - Análisis de la Constitucionalidad del
Artículo 19 del Marco Civil de Internet";Matías González Mama y Francesca Chocano;2025;2025-04-01;Informe de jurisprudencia;2;ESP;"Matías González Mama y Francesca Chocano, “Brasil - Análisis de la Constitucionalidad del
Artículo 19 del Marco Civil de Internet”, Informe de jurisprudencia No. 2 (ESP), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025)";https://observatoriolegislativocele.com/wp-content/uploads/Informe-jurisprudencia-brasil-n%C2%B02.pdf
El Nuevo Proyecto de Ley Orgánica de Libertad de Expresión y Medios Audiovisuales;CELE;2025;2025-06-05;Informe legislativo;15;ESP;CELE, “El Nuevo Proyecto de Ley Orgánica de Libertad de Expresión y Medios Audiovisuales”, Informe legislativo No. 15 (ESP), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://observatoriolegislativocele.com/wp-content/uploads/Informe-legislativo-15-RD.pdf
Contribution to the preparation of the report on the challenges and risks regarding discrimination and the unequal enjoyment of the right to privacy associated with the collection and processing of data;CELE;2025;2025-05-28;Documento de posición;27;ENG;CELE, “Contribution to the preparation of the report on the challenges and risks regarding discrimination and the unequal enjoyment of the right to privacy associated with the collection and processing of data”, Documento de posición No. 27 (ENG), Centro de Estudios en Libertad de Expresión (CELE), Buenos Aires (2025);https://www.palermo.edu/Archivos_content/2025/cele/mayo/dp27.pdf
